                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2681,                0.69196,                      1,                 1.1902,             0.00023382,             0.00023382,             0.00023382
                      2,                0.76308,                0.89732,                      1,                0.96644,             0.00044847,             0.00044847,             0.00044847
                      3,                0.43817,                0.95536,                      1,                0.83048,             0.00063955,             0.00063955,             0.00063955
                      4,                0.29765,                0.95089,                      1,                0.81846,             0.00060797,             0.00060797,             0.00060797
                      5,                0.27718,                0.96429,                      1,                 0.8049,             0.00057263,             0.00057263,             0.00057263
                      6,                0.24266,                0.96875,                      1,                0.79775,             0.00053728,             0.00053728,             0.00053728
                      7,                0.24078,                0.97768,                      1,                0.78964,             0.00050194,             0.00050194,             0.00050194
                      8,                0.19405,                0.98214,                      1,                0.77946,              0.0004666,              0.0004666,              0.0004666
                      9,                0.18417,                0.97321,                      1,                 0.7815,             0.00043126,             0.00043126,             0.00043126
                     10,                0.20102,                0.97768,                      1,                0.77753,             0.00039591,             0.00039591,             0.00039591
                     11,                 0.1979,                0.97768,                      1,                0.78164,             0.00036057,             0.00036057,             0.00036057
                     12,                0.16979,                0.97321,                      1,                0.77965,             0.00032523,             0.00032523,             0.00032523
                     13,                0.14768,                0.97321,                      1,                0.78326,             0.00028988,             0.00028988,             0.00028988
                     14,                0.20088,                0.97768,                      1,                0.78162,             0.00025454,             0.00025454,             0.00025454
                     15,                0.14172,                0.96875,                      1,                0.78365,              0.0002192,              0.0002192,              0.0002192
                     16,                0.17618,                0.95982,                      1,                0.78739,             0.00018385,             0.00018385,             0.00018385
                     17,                0.16385,                0.96875,                      1,                0.78152,             0.00014851,             0.00014851,             0.00014851
                     18,                0.16444,                0.96875,                      1,                0.78156,             0.00011317,             0.00011317,             0.00011317
                     19,                0.15693,                0.96875,                      1,                0.78129,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.13174,                0.97768,                      1,                  0.781,             4.2483e-05,             4.2483e-05,             4.2483e-05
